policy_id,vehicle_usage_type,cylinder,gross_weight,gear_box,fuel,torque,car_color,features,airbags,policy_age_months,population_density,transmission_type,manufacturer,rear_brakes,engine_type,height,car_age,policyholder_age,garage_type,region,width,annual_mileage_km,steering_type,driver_occupation,length,car_model,power,displacement,turning_radius,car_segment,safety_rating,claim
P1,Rental,3,1155,5,Petrol,91Nm@4250rpm,White,"['parking_camera', 'power_door_locks', 'central_locking', 'power_steering', 'day_night_mirror', 'ecw', 'speed_alert']",2,28,27003,Automatic,2,Drum,1.0 SCe,1490,4 years and 6 months,41,On Street,C2,1579,25000,Electric,Professional,3731,M3,67.06bhp@5500rpm,999,5.0,A,23,0
P2,Work and Personal,4,1720,6,Diesel,250Nm@2750rpm,Black,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,70,8794,Automatic,3,Disc,1.5 L U2 CRDi,1635,3 years and 6 months,23,Driveway,C8,1790,10000,Power,Student,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,38,1
P3,Commercial,4,1720,6,Diesel,250Nm@2750rpm,Silver,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,65,8794,Automatic,3,Disc,1.5 L U2 CRDi,1635,1 years and 4 months,23,Driveway,C8,1790,25000,Power,Self-Employed,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,38,0
P4,Rental,3,1185,5,CNG,60Nm@3500rpm,Silver,"['parking_sensors', 'power_steering', 'speed_alert']",2,4,7788,Manual,1,Drum,F8D Petrol Engine,1475,0 months,46,On Street,C14,1515,10000,Power,Self-Employed,3445,M1,40.36bhp@6000rpm,796,4.6,A,6,0
P5,Ride-sharing,4,1335,5,Petrol,113Nm@4400rpm,Red,"['adjustable_steering', 'parking_sensors', 'front_fog_lights', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,41,5410,Manual,1,Drum,K Series Dual jet,1530,8 months,29,Enclosed Parking,C13,1735,5000,Electric,Professional,3845,M6,88.50bhp@6000rpm,1197,4.8,B2,27,0
P6,Commercial,4,1720,6,Diesel,250Nm@2750rpm,Unknown,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,87,8794,Automatic,3,Disc,1.5 L U2 CRDi,1635,5 years and 7 months,40,Driveway,C8,1790,20000,Power,Retired,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,32,0
P7,Commercial,4,1490,5,Diesel,200Nm@3000rpm,Black,"['adjustable_steering', 'parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,100,27003,Manual,4,Drum,1.5 Turbocharged Revotorq,1523,8 years and 4 months,24,Enclosed Parking,C2,1755,15000,Electric,Self-Employed,3990,M5,88.77bhp@4000rpm,1497,5.0,B2,60,0
P8,Personal,4,1335,5,Petrol,113Nm@4400rpm,Gray,"['adjustable_steering', 'parking_sensors', 'front_fog_lights', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,104,290,Manual,1,Drum,K Series Dual jet,1530,4 years and 6 months,53,On Street,C15,1735,15000,Electric,Student,3845,M6,88.50bhp@6000rpm,1197,4.8,B2,23,1
P9,Ride-sharing,4,1335,5,Petrol,113Nm@4400rpm,Red,"['adjustable_steering', 'parking_sensors', 'front_fog_lights', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,0,27742,Manual,1,Drum,K Series Dual jet,1530,1 years and 4 months,26,Enclosed Parking,C19,1735,5000,Electric,Retired,3845,M6,88.50bhp@6000rpm,1197,4.8,B2,28,0
P10,Commercial,3,1185,5,CNG,60Nm@3500rpm,White,"['parking_sensors', 'power_steering', 'speed_alert']",2,26,3264,Manual,1,Drum,F8D Petrol Engine,1475,4 months,33,Driveway,C21,1515,25000,Power,Professional,3445,M1,40.36bhp@6000rpm,796,4.6,A,7,0
